"week_start","KW","year","KW_Y","TS_NaturalDisasters_norm","TS_NaturalDisasters_gt","TS_EUPolitics_norm","TS_EUPolitics_gt","TS_USPolitics_norm","TS_USPolitics_gt","TS_MilitaryGeopolitics_norm","TS_MilitaryGeopolitics_gt","TS_UkraineWar_norm","TS_UkraineWar_gt","TS_EURightwing_norm","TS_EURightwing_gt","TS_Diplomacy_norm","TS_Diplomacy_gt","TS_IsraelGaza_norm","TS_IsraelGaza_gt","TS_ClimateFires_norm","TS_ClimateFires_gt","TS_Accidents_norm","TS_Accidents_gt","TS_Elections_norm","TS_Elections_gt","NYT_AsiaGeopolitics_norm","NYT_AsiaGeopolitics_gt","NYT_UkraineWar_norm","NYT_UkraineWar_gt","NYT_CrimeJustice_norm","NYT_CrimeJustice_gt","NYT_Accidents_norm","NYT_Accidents_gt","NYT_SyriaPolitics_norm","NYT_SyriaPolitics_gt","NYT_GlobalLeaders_norm","NYT_GlobalLeaders_gt","NYT_EconomicCrisis_norm","NYT_EconomicCrisis_gt","NYT_IsraelGaza_norm","NYT_IsraelGaza_gt","NYT_ReligionCulture_norm","NYT_ReligionCulture_gt"
2024-03-24,12,2024,"KW_12_2024",44.598809237443,9,35.4846032087747,16.6,24.7627058851103,1,14.6868307934237,19.75,64.591154163793,27.6,17.146337354894,6.4,31.1297434605873,13.8,38.8975668182872,20.5,55.5352858249638,18.3333333333333,63.0176518878324,8.2,34.7446050390513,0.25,42.2657647507313,10.8,65.3802533616078,14.75,57.0610455296833,15.4,51.079559600378,25.8,17.9376555721299,2.6,25.4087759243451,3,57.4278595421413,10.2,40.977222531803,13.5,19.0891627948113,24
2024-03-31,13,2024,"KW_13_2024",77.2843371602717,9.8,31.2773226425944,16.4,20.19837710182,0.8,43.0563763422644,29.25,30.6575353505,24.2,21.3667640331839,6.2,48.1872727068229,10.8,74.9223861450288,23.5,61.2590066039466,13.6666666666667,42.9910098242062,8.2,22.9488682891095,1.25,37.4459213129971,10.2,58.8606626312667,12.25,38.4537775190529,14.4,81.9024604067857,26.4,17.201167544898,2.8,20.4911907696057,2.6,61.6558708519142,10.8,53.9491704176371,16.5,11.3205344719372,16.2
2024-04-07,14,2024,"KW_14_2024",77.2113963104427,10.4,50.7166467311976,16.2,27.9248148527757,0.8,50.5273318638895,24,49.8673820409327,21,31.6125916274262,9,37.3868426961467,14.2,46.8399594781856,26.75,46.537510475953,14.6666666666667,33.3025565296045,8.8,32.2922285706842,0.5,43.9552237935052,18.4,45.3475975397041,10.25,40.5124429456084,16.6,62.633801927932,24.8,19.3310557761007,3.2,27.8967180380926,2.6,54.7596337770082,14.4,60.1025598437178,16.5,18.5788858952354,13.2
2024-04-14,15,2024,"KW_15_2024",70.1166865759528,13,72.7206050724707,16.6,23.9375224593823,1,70.2390968623337,21.25,63.4131949060433,18.6,17.295516019456,7.8,41.2229245766994,15.4,72.2275392536359,53.75,73.5737297825423,33.6666666666667,29.2317593021509,7.4,24.0812520225108,0.5,40.4995670135441,11.8,79.227023402186,10.75,37.0889669796257,18.2,46.7637907465304,25.6,20.1969435630861,4.6,22.8941515228243,3.4,49.6848771551544,15,73.2675651407546,22,13.500540394603,11.8
2024-04-21,16,2024,"KW_16_2024",50.7771016339168,10.2,74.4315013003661,16.6,50.3034576181166,1,46.628311448057,19.5,36.5460056884806,19.8,26.3460269858656,8.4,62.2962593335573,13.2,47.7784441409882,20.75,24.662945298105,11.3333333333333,31.5139248144278,6.8,20.4703709694598,0.5,44.2544583613281,12.2,61.2055271533631,11.5,40.1490601706068,18.2,52.2184296442644,27.8,17.1658883087541,3,14.1515229578988,3,56.7336599760502,23.2,34.6490936297596,22.5,11.7962613928153,12.4
2024-04-28,17,2024,"KW_17_2024",69.3783461598461,10.4,40.5579757111149,16.6,19.6388517641428,0.8,30.5667699827636,16.5,35.5911480159553,20,11.6234676441711,7.2,68.8494488802313,12,47.3955738106158,22,33.284492357359,27.3333333333333,28.6452902228479,8.2,21.0100590498169,0.5,24.7179948107266,11.8,35.2480312115076,11.5,30.6513251375098,19,46.9204866710644,26,16.1982930088678,3.2,16.1741729043429,2.8,41.976708504612,31,39.6510131350318,30,14.3120017341949,12.2
2024-05-05,18,2024,"KW_18_2024",58.0879447598529,10.2,36.7652947914753,19.2,23.4748953530678,0.8,34.8581678799194,20,56.2972185752301,26.2,18.0704935576114,7,40.4637651799343,10.2,52.6116280936498,29.5,31.1577772435378,15.6666666666667,24.7133008998248,6.4,20.2332352543166,1,55.3808272992496,11.6,66.1663292414192,17.75,30.2249123337893,16.4,58.4022294290138,26.2,19.5510113059132,3,41.0273486925832,3.2,61.1199754282192,17.4,55.6281340266751,30,14.8626700554222,12.6
2024-05-12,19,2024,"KW_19_2024",49.24226451962,12.2,51.8440597754459,19.4,26.3320922624075,0.8,21.1768229830023,18.5,47.5669895923538,21.8,24.8771426761561,8.6,78.7553964887206,12.8,37.7349807464923,30.5,71.4911029320178,20,32.0509673730392,10.8,25.3384945037743,0.75,47.6274717550783,10.8,89.4277673844685,13.25,54.5479372527197,15.4,51.538158805113,27,19.1270142452432,2.6,30.9385559303936,2.8,69.6878106183906,14.6,52.8891434595414,22.75,15.0271426663684,13.2
2024-05-19,20,2024,"KW_20_2024",67.1509864271931,9.8,29.7109459189113,19.8,28.940383491716,0.8,41.8194783634462,21.25,27.5524948939937,23.4,13.9281863415198,7.2,66.5272646528116,14.8,38.895497661495,28.25,24.0518805630787,13.6666666666667,64.3783736337708,21,29.959216975493,0.75,55.4461582395548,14.4,90.0559975957546,11.25,40.7041502695203,17.2,57.154803490437,29,23.1392428839301,2.2,40.3938468837927,3.4,83.9393744773823,11.8,45.4474292623798,17.5,20.1829591369163,13.6
2024-05-26,21,2024,"KW_21_2024",69.7958245549348,8.2,37.1319822155592,20.8,28.9592599755837,2,45.4532730926587,24.25,50.2214821070543,24.4,25.9287162054112,7.6,37.6656415676595,12,46.7538504567626,41.5,43.8935483607888,11.3333333333333,27.4239760420883,7.2,23.835916899343,1.75,37.8854837843893,10,57.6352377359012,10.5,24.3981939525303,12.4,62.222595630383,28.6,10.0148666283505,2,25.5165480694176,7.4,51.2133678132801,10.8,36.8167914278785,23.75,10.7411399458764,20.6
