"week_start","TS_NaturalDisasters_norm_cov","TS_NaturalDisasters_gt","TS_EUPolitics_norm_cov","TS_EUPolitics_gt","TS_USPolitics_norm_cov","TS_USPolitics_gt","TS_MilitaryGeopolitics_norm_cov","TS_MilitaryGeopolitics_gt","TS_UkraineWar_norm_cov","TS_UkraineWar_gt","TS_EURightwing_norm_cov","TS_EURightwing_gt","TS_Diplomacy_norm_cov","TS_Diplomacy_gt","TS_IsraelGaza_norm_cov","TS_IsraelGaza_gt","TS_ClimateFires_norm_cov","TS_ClimateFires_gt","TS_Accidents_norm_cov","TS_Accidents_gt","TS_Elections_norm_cov","TS_Elections_gt","NYT_Diplomacy_norm_cov","NYT_Diplomacy_gt","NYT_AsiaGeopolitics_norm_cov","NYT_AsiaGeopolitics_gt","NYT_UkraineWar_norm_cov","NYT_UkraineWar_gt","NYT_IntLawCourts_norm_cov","NYT_IntLawCourts_gt","NYT_CrimeJustice_norm_cov","NYT_CrimeJustice_gt","NYT_Accidents_norm_cov","NYT_Accidents_gt","NYT_SyriaPolitics_norm_cov","NYT_SyriaPolitics_gt","NYT_GlobalLeaders_norm_cov","NYT_GlobalLeaders_gt","NYT_EconomicCrisis_norm_cov","NYT_EconomicCrisis_gt","NYT_IsraelGaza_norm_cov","NYT_IsraelGaza_gt","NYT_ReligionCulture_norm_cov","NYT_ReligionCulture_gt","NYT_Venezuela_norm_cov","NYT_Venezuela_gt"
2024-06-02,27.7632718033493,11.4,15.2855997902285,21,19.7905288050113,1,30.4148259947873,22.5,9.23949704858585,28,18.0299320071131,10.4,44.3062896260514,11.8,27.6123081971613,23.75,24.632541836307,11.6666666666667,15.8058686160153,6.6,27.9449732539774,2.5,84.1124270732554,11.8,37.9107244656411,7.6,51.4251447274696,10.75,58.471745920759,12,38.4054108426216,12,64.2468930227625,27.2,17.2268926289686,2.2,29.3065592427905,3.4,56.5693103832841,9.2,49.6120982132889,14.25,15.7336065733452,12,32.9526842697679,3.4
2024-06-09,32.4187578045455,5.6,51.6620319820713,29.4,16.6899874998592,1,25.4003502739002,19.75,37.9142777953385,26.6,65.835530569938,25.6,42.2267973555247,15,45.4475728234336,21.25,39.0538687511993,17,37.2008376984462,6.4,31.4531041586606,8.25,63.4483710092703,15,52.0146453858975,7.2,60.5564787239167,12,48.1248757210419,12,47.8205832097823,12,60.9591778045157,29.2,17.9335881564161,2.2,30.4536822446345,2.6,59.7249570570985,10,57.2609531899249,14.75,17.8760411626165,14.2,30.2803331222452,2.6
2024-06-16,60.2995576265195,5.2,75.678833989836,19.8,12.3102895236291,0.6,51.4394493295857,21.25,39.2903115841755,27,29.0925099763112,9,38.2366847911686,10.2,40.7143476224928,14.5,52.0609339918216,17.6666666666667,23.0381716504732,6.8,22.7668830866009,0.5,38.0139078371725,10.2,64.2922056183534,24.4,51.7526452673617,16,50.5622668075037,10.6,32.5347210109242,10.6,59.3209678076352,32.8,14.3974782509327,1.8,21.6695099013056,2.4,54.8029868961472,8,29.6291613864039,12.75,18.4236603806767,11.4,35.3972663546374,2.4
2024-06-23,45.8067224170576,5.6,58.7688871206207,19.2,20.7274149057292,2.6,26.1162885742895,17.75,26.048341795054,22.2,33.2041278945817,7.8,61.2315569568195,12.2,26.6578935093131,14.25,56.4605427381679,17,26.7534517090769,7.2,50.7374063836531,0.5,57.767516071157,12.2,30.2105687274537,14.2,40.9688382669867,15,76.6031302884011,15.2,44.6135052850632,15.2,61.0269643565111,28,13.9911944966417,1.8,26.5364707111558,4.8,70.9876733305663,10.8,23.6927216751277,11.5,15.1126673612078,11.8,40.860189666142,4.8
2024-06-30,70.7297601718453,6.6,33.7699334313263,13.2,32.2334120562728,2.4,18.6043827074382,16.75,17.8941631414522,17.8,58.8430305497399,8.2,79.0637724060037,13,15.1878874123783,11.5,46.4045400390087,18.6666666666667,18.1562701693187,5.8,74.344305066408,1,90.9638674906811,13,26.2878914171892,5.8,23.1486693393679,10,54.8245028997582,26.8,43.0752498725683,26.8,58.155916529144,29.4,19.8105692162326,1.8,25.428472352029,3.8,66.2010104660563,8.2,25.6616120738499,9,15.8162385604107,10.8,40.5624566522133,3.8
2024-07-07,64.833585602855,6.2,73.5463098361999,14.4,36.245330435998,3,37.6000106221191,26.75,46.0607517226691,21.4,75.0877167513195,8,66.7793672297713,11.8,33.8326328197617,14.5,63.2824097828384,18.6666666666667,24.720345726764,7.2,39.552410613658,1,64.0617833185365,11.8,32.8764717237387,6.2,40.5267045973688,18,52.2633817367295,11.2,39.8947391426254,11.2,67.0819435934484,27.2,14.6086129475356,1.8,27.1845805696473,9.2,70.9445443446192,10.6,30.4534687108509,9.5,10.6703459193993,11.4,30.5103951283819,9.2
2024-07-14,34.2904554379634,5.4,46.0608923205125,33,62.7321097089587,11.8,20.840244761569,16.75,14.8301374945666,17.8,18.6149187599543,6.4,43.5873458863905,9.2,20.5494960789998,13.75,64.7692179816674,17,17.1613507816067,6,56.4139062004596,0.5,58.8314369472175,9.2,39.5972964214099,5.6,46.5420651461417,12.5,45.7459233570013,11,44.5697497291795,11,57.3403129653114,25.6,18.0351183183034,1.8,26.0363961502287,22.2,63.4759473890745,9,25.0022396671358,7.75,14.7315545009571,10.4,55.1779327898138,22.2
2024-07-21,62.418095810923,5.6,45.2690890234458,17.6,100,6.4,46.0058229260477,15.5,17.5221769849163,17.4,19.549551619707,6.6,47.416532823971,10.4,29.6961032135896,15,88.4699114485113,20.6666666666667,30.2472255015424,10.4,98.2090221984511,0.5,57.2402779588646,10.4,37.0628497106558,7.2,35.6856196805835,10.5,50.1875890628737,10.2,44.0893756497678,10.2,64.3994227200686,34.4,12.4782931833329,1.8,18.4780406412514,7.8,70.0900674963094,10.2,30.353846290858,13.25,12.0184199600922,10.6,31.6314404426285,7.8
2024-07-28,43.5023303693209,4.8,26.2480473682325,13.6,28.4630013806492,1.8,43.4901777092617,17.25,33.5566370048713,17.8,20.5432286455804,6,37.6044152813937,9.6,97.2637682096586,34.5,87.7668837861033,23.3333333333333,23.2807516019474,12.8,61.0167343309858,0.5,26.3423857066546,9.6,36.140067775379,5.2,44.2272144848281,13,46.2644504657477,9.4,61.3259403954381,9.4,71.5567512725477,28,21.9221683068024,2.4,20.2070715766932,6.4,63.8069443313389,10.2,47.8101348695845,21,18.8826417841828,11.8,100,6.4
2024-08-04,55.4060211978018,5.4,25.1533690453987,13.8,13.7875549626955,1.6,32.2782514875824,15,49.1384934513425,21.6,23.517042515275,6.2,63.9309640074342,9.6,43.8394149947571,25.25,68.9888926974845,19.6666666666667,30.7503871203731,22.4,52.7419788453005,0.25,46.3817362403066,9.6,39.1928554109576,5.2,50.694856965466,12.25,50.9757103820891,8.4,41.5327431145876,8.4,72.0160481330913,31.2,14.3672437233867,3,15.0686375833587,4.2,76.080108203212,15.4,40.1817916559184,13.5,15.5945139809039,11.2,76.8966871743622,4.2
